Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
-73,40,37F-PM-1014-03,PM,10142018,nan,nan,nan,nan,False,False,False,False,False,nan,False,False,False,False,False,False,False,False
-73,40,37E-PM-1006-03,PM,10062018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,False,True
-73,40,2E-AM-1010-03,AM,10102018,Adult,Cinnamon,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,True,False
-73,40,5D-PM-1018-05,PM,10182018,Juvenile,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,True
-73,40,39B-AM-1018-01,AM,10182018,nan,nan,Above Ground,nan,False,False,False,False,False,unknown,True,False,False,False,False,False,False,False
-73,40,33H-AM-1019-02,AM,10192018,Juvenile,Gray,Ground Plane,nan,False,False,False,False,False,wrestling with mother,False,False,False,False,False,False,False,False
-73,40,6G-PM-1020-02,PM,10202018,Adult,Gray,Ground Plane,nan,True,True,False,False,False,nan,False,False,False,False,False,False,True,False
-73,40,35C-PM-1013-03,PM,10132018,nan,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
-73,40,7B-AM-1008-09,AM,10082018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,32E-PM-1017-14,PM,10172018,Adult,Gray,nan,nan,False,False,False,True,True,nan,False,False,False,False,False,False,False,True
-73,40,13E-AM-1017-05,AM,10172018,Adult,Gray,Above Ground,on tree stump,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
-73,40,11H-AM-1010-03,AM,10102018,Adult,Cinnamon,nan,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
-73,40,36H-AM-1010-02,AM,10102018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
